Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,66906,9.3,318008,12.0,95570
Fairfield,78892,8.2,72291,9.6,21350
Hartford,61962,10.1,86396,13.7,27443
Litchfield,67688,6.5,12130,7.5,3025
Middlesex,74524,5.7,9149,6.4,2173
New Haven,60388,11.9,97672,15.8,29986
New London,63450,7.9,20119,11.1,6318
Tolland,78471,6.7,9140,5.8,1743
Windham,56342,9.8,11111,13.8,3530
