Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,70007,10.8,375281,14.9,113733
Fairfield,85336,9.0,83132,11.8,26068
Hartford,65809,12.2,106078,17.6,33866
Litchfield,73413,7.7,14015,9.1,3232
Middlesex,76365,7.9,12636,9.1,2876
New Haven,60387,13.0,108729,18.4,32909
New London,65813,11.1,28868,16.7,9105
Tolland,78653,7.5,10253,7.3,2018
Windham,57547,10.3,11570,15.5,3660
