Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,71333,10.6,367867,14.6,110143
Fairfield,86297,9.0,83612,11.2,24471
Hartford,69260,11.1,96763,15.7,29859
Litchfield,70847,7.4,13383,9.4,3232
Middlesex,82878,6.7,10744,7.4,2255
New Haven,61758,13.6,112801,20.0,35167
New London,65602,11.1,28760,17.4,9333
Tolland,81616,7.1,9593,7.2,1942
Windham,61303,10.9,12211,16.8,3884
