Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,67275,10.6,370537,14.6,114613
Fairfield,79536,8.9,81756,11.1,24854
Hartford,63374,12.2,106357,16.7,32889
Litchfield,67746,7.0,12975,8.6,3272
Middlesex,74588,6.4,10376,7.5,2470
New Haven,59217,13.3,110945,20.4,37634
New London,65573,9.3,24476,13.3,7460
Tolland,75048,7.3,10014,7.2,2068
Windham,54221,12.1,13638,16.1,3965
