Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,67262,10.7,373387,14.5,112225
Fairfield,81816,9.6,88010,11.9,26512
Hartford,63491,12.1,105605,17.4,33936
Litchfield,70519,7.2,13320,9.2,3372
Middlesex,75335,7.3,11735,7.6,2451
New Haven,58672,12.8,106771,17.7,32169
New London,62638,9.4,24564,13.4,7470
Tolland,73660,6.4,8744,7.0,1995
Windham,55948,13.0,14639,18.0,4321
