Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,76366,10.3,358519,13.8,100250
Fairfield,91183,10.0,92971,12.7,26730
Hartford,73037,11.2,96957,15.5,28641
Litchfield,76304,6.9,12441,8.1,2643
Middlesex,88709,6.7,10556,8.1,2314
New Haven,67720,11.6,96563,16.7,28530
New London,67790,9.8,25063,12.5,6388
Tolland,89584,8.0,10835,6.4,1652
Windham,65182,11.7,13135,14.8,3351
