Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,64321,10.1,348881,12.8,103003
Fairfield,74634,9.3,84125,10.8,24304
Hartford,60028,11.3,98243,14.8,29838
Litchfield,66076,6.7,12650,8.4,3379
Middlesex,70805,6.8,11030,6.7,2314
New Haven,57070,11.6,97210,16.1,30659
New London,61792,8.9,23382,11.5,6721
Tolland,74868,6.4,8794,6.1,1855
Windham,56564,11.8,13447,15.3,3933
