Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,65822,10.8,373284,14.6,115699
Fairfield,77065,9.4,85240,12.4,27715
Hartford,60947,12.4,107964,16.8,33374
Litchfield,68658,7.8,14633,8.9,3487
Middlesex,75714,6.7,10868,7.9,2676
New Haven,58985,12.9,108038,19.1,35545
New London,63561,9.0,23554,12.2,6956
Tolland,77124,8.0,10966,7.4,2181
Windham,54911,10.6,12021,15.0,3763
