Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,73380,9.9,342171,13.1,97462
Fairfield,89954,8.6,79966,10.3,22197
Hartford,69341,10.9,95010,15.1,28501
Litchfield,76323,7.2,12952,8.8,2959
Middlesex,80190,7.9,12513,8.7,2589
New Haven,66012,11.4,94687,16.5,28778
New London,70258,9.3,23961,13.5,7138
Tolland,81369,7.2,9786,6.9,1834
Windham,60869,11.9,13297,15.2,3466
