Jurisdiction,MedianHouseholdIncome,%inPoverty,TotalInPoverty,%MinorsInPoverty,TotalMinorsInPoverty
Connecticut,74428,9.7,338651,13.0,95569
Fairfield,91170,8.8,82428,11.3,24161
Hartford,70433,11.0,96200,15.3,28488
Litchfield,77968,6.9,12481,7.9,2642
Middlesex,81533,6.8,10796,7.4,2169
New Haven,66764,11.0,91639,15.3,26499
New London,71721,8.6,22246,12.3,6399
Tolland,75571,7.4,10043,6.5,1708
Windham,62606,11.5,12818,15.6,3503
